kepid,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_depth,tce_duration,av_pred_class,_RAJ2000,_DEJ2000,KIC,TIC,nTESS,nTESStimed,t_n MJD 1,t_n MJD 2
2581316,217.832,7.71254e-05,238.82,0.000285308,9230.0,21.34,PC,292.62745521591,37.86013507452,2581316,137685450,8,2,59427.95999999996,0.0
4820550,202.118,0.000378617,292.048,0.00139601,2742.0,4.683,PC,286.77144282853,39.98380578722,4820550,121013026,4,1,59773.262000000104,0.0
4638237,290.14,0.000270323,307.251,0.000660106,4838.0,2.197,PC,286.15310231974,39.71491403542,4638237,120765843,4,1,59781.99099999992,0.0
5437945,440.784,0.000998579,139.352,0.00190468,2915.0,21.64,PC,288.47485560496,40.65133864898,5437945,121603086,4,1,59820.47599999979,0.0
6762829,207.561,0.00276341,204.078,0.0112479,441.4,11.43,PC,286.83033908167,42.27920009253,6762829,158316612,8,4,59395.35900000017,59810.481000000145
8105398,224.151,0.00174522,341.029,0.00555423,389.9,12.76,PC,294.49484334399,43.91362475795,8105398,271046694,4,1,59432.398000000045,0.0
8264402,215.954,0.00177961,271.37,0.00669266,379.4,8.154,PC,300.94569270466,44.16467632691,8264402,185058067,5,2,59422.950000000186,0.0
9086154,225.264,0.00271075,224.981,0.0100006,415.5,15.39,PC,290.83390201476,45.43565161917,9086154,159520001,4,1,59788.02499999991,0.0
9002278,267.283,0.00431117,322.435,0.0117926,468.4,7.686,PC,283.2127162485,45.3498333543,9002278,164458488,10,2,59431.46299999999,0.0
9958387,237.787,0.000918004,196.971,0.00288098,1622.0,10.42,PC,294.75770370431,46.83110259166,9958387,271253611,4,1,59785.21100000013,0.0
11284772,207.248,0.00260661,213.032,0.0108734,855.4,6.175,PC,284.56691156193,49.01256002105,11284772,267667567,3,2,59397.74000000022,59812.23600000003
11152511,287.323,0.00486991,360.841,0.0138277,387.3,13.08,PC,298.06230606519,48.72491861468,11152511,28362513,7,2,59790.50900000008,0.0
10917043,205.386,0.00178966,284.19,0.00636394,1299.0,8.466,PC,290.25379349704,48.36079990736,10917043,406948346,4,1,59429.79600000009,0.0
10779233,201.119,0.00137794,187.567,0.00511531,599.0,10.85,PC,283.11378524986,48.13137038571,10779233,48217265,5,1,59444.685000000056,0.0
